Kod wojewdztwa,Kod powiatu,Kod gminy,Wojewdztwo,Powiat,Gmina,Typ gminy,Nazwa formularza,Liczba podatnikw,Kwota przychodu                   w tys zotych,Kwota dochodu w tys zotych,Kwota dochodu do opodatkowania                  w tys zotych,Podatek naleny                  w tys zotych
2,6,21,DOLNOLSKIE,KARKONOSKI,KOWARY,GM,PIT39,14,2010,573,259,49
2,6,21,DOLNOLSKIE,KARKONOSKI,KOWARY,GM,PIT40A,1228,27152,27152,27151,0
2,6,31,DOLNOLSKIE,KARKONOSKI,PIECHOWICE,GM,PIT28,272,31209,0,0,2419
2,6,31,DOLNOLSKIE,KARKONOSKI,PIECHOWICE,GM,PIT36,475,57172,26254,23471,1455
2,6,31,DOLNOLSKIE,KARKONOSKI,PIECHOWICE,GM,PIT36L,80,91230,16257,14422,2740
2,6,31,DOLNOLSKIE,KARKONOSKI,PIECHOWICE,GM,PIT37,2765,136995,131055,117987,6114
2,6,31,DOLNOLSKIE,KARKONOSKI,PIECHOWICE,GM,PIT38,66,107049,8250,8176,1553
2,6,31,DOLNOLSKIE,KARKONOSKI,PIECHOWICE,GM,PIT39,11,2313,781,107,20
2,6,31,DOLNOLSKIE,KARKONOSKI,PIECHOWICE,GM,PIT40A,619,13421,13421,13421,14
2,6,41,DOLNOLSKIE,KARKONOSKI,SZKLARSKA PORBA,GM,PIT28,366,43561,0,0,2906
2,6,41,DOLNOLSKIE,KARKONOSKI,SZKLARSKA PORBA,GM,PIT36,537,73874,27451,24725,1478
2,6,41,DOLNOLSKIE,KARKONOSKI,SZKLARSKA PORBA,GM,PIT36L,100,158615,33535,29131,5535
2,6,41,DOLNOLSKIE,KARKONOSKI,SZKLARSKA PORBA,GM,PIT37,3020,122796,116431,105044,5115
2,6,41,DOLNOLSKIE,KARKONOSKI,SZKLARSKA PORBA,GM,PIT38,44,7477,141,133,25
2,6,41,DOLNOLSKIE,KARKONOSKI,SZKLARSKA PORBA,GM,PIT39,12,3159,1691,11,2
2,6,41,DOLNOLSKIE,KARKONOSKI,SZKLARSKA PORBA,GM,PIT40A,716,15009,15009,15009,0
2,6,52,DOLNOLSKIE,KARKONOSKI,JANOWICE WIELKIE,GW,PIT28,150,17818,0,0,1263
2,6,52,DOLNOLSKIE,KARKONOSKI,JANOWICE WIELKIE,GW,PIT36,317,43754,14565,12722,632
2,6,52,DOLNOLSKIE,KARKONOSKI,JANOWICE WIELKIE,GW,PIT36L,41,85386,13465,13089,2487
2,6,52,DOLNOLSKIE,KARKONOSKI,JANOWICE WIELKIE,GW,PIT37,1755,88087,83890,74515,3780
2,6,52,DOLNOLSKIE,KARKONOSKI,JANOWICE WIELKIE,GW,PIT38,36,3691,438,425,81
2,6,52,DOLNOLSKIE,KARKONOSKI,JANOWICE WIELKIE,GW,PIT40A,454,8996,8996,8995,0
2,6,62,DOLNOLSKIE,KARKONOSKI,JEW SUDECKI,GW,PIT28,461,69980,0,0,5860
2,6,62,DOLNOLSKIE,KARKONOSKI,JEW SUDECKI,GW,PIT36,754,119549,45457,40336,2852
2,6,62,DOLNOLSKIE,KARKONOSKI,JEW SUDECKI,GW,PIT36L,162,277671,46384,43166,8202
2,6,62,DOLNOLSKIE,KARKONOSKI,JEW SUDECKI,GW,PIT37,3417,186526,178101,157854,10302
2,6,62,DOLNOLSKIE,KARKONOSKI,JEW SUDECKI,GW,PIT38,97,97194,2395,2343,445
